datetime,nat_demand,T2M_toc,QV2M_toc,TQL_toc,W2M_toc,T2M_san,QV2M_san,TQL_san,W2M_san,T2M_dav,QV2M_dav,TQL_dav,W2M_dav,Holiday_ID,holiday,school
2015-01-03,970.345,25.86525879,0.018576382,0.016174316,21.85054582,23.48244629,0.017271755,0.001855373,10.32894873,22.66213379,0.016562222,0.09609985,5.364147952,0,0,0
2015-01-04,944.0556,25.68181763,0.01849374,0.003897667,19.89334975,23.62713013,0.017540066,0.006481171,8.287432557,22.53338013,0.016746609,0.08557129,4.433089165,0,0,0
2015-01-05,928.5338,25.68990479,0.018422669,0.018112183,20.81284325,23.51021729,0.016660279,0.007762909,11.81946955,22.40084229,0.015912598,0.08206177,6.59968052,0,0,0
2015-01-06,914.6895,25.44103394,0.017628072,0.024032593,28.39983239,23.60509644,0.016590474,0.008876801,14.22240956,22.28478394,0.015835164,0.08810425,7.670477444,0,0,0
2015-01-07,940.4568,24.86324463,0.016942648,0.015155792,20.15655441,22.42574463,0.016385702,0.015403748,10.0782165,21.76168213,0.015573172,0.10028076,6.593827422,0,0,0
2015-01-08,962.4068,25.05080566,0.017603036,0.021621704,19.64667076,22.54299316,0.016367074,0.032714844,9.836932663,21.59768066,0.015749093,0.12762451,6.068856503,0,0,0
2015-01-09,943.6081,25.03847656,0.01664647,0.02394104,26.21308845,22.97597656,0.015578357,0.02117157,13.29401368,22.19472656,0.01541051,0.09625244,6.865418861,2,1,0
2015-01-10,906.958,24.97649536,0.017214756,0.025253296,21.33533262,23.55462036,0.0164213,0.051376343,12.48562723,22.28899536,0.015734654,0.12182617,6.229960788,0,0,0
2015-01-11,924.2795,25.16906128,0.018249162,0.022407532,20.80437922,23.53624878,0.016708024,0.026634216,11.48224008,22.44249878,0.015830643,0.09844971,6.030867427,0,0,0
2015-01-12,941.5469,25.29989014,0.018568097,0.03390503,20.03641759,23.83114014,0.0172711,0.024276733,8.45808524,23.04989014,0.016279278,0.09378052,3.699248227,0,0,0
2015-01-13,963.507,25.74315796,0.018622043,0.032226562,19.6964421,23.83690796,0.017622592,0.045425415,6.280211679,22.68065796,0.01664603,0.10845947,3.774747534,0,0,0
2015-01-14,978.6654,25.50057373,0.018455854,0.018951416,16.13207424,23.68807373,0.017418256,0.03543091,5.456082654,23.03182373,0.016792646,0.15112305,2.255795035,0,0,0
2015-01-15,944.5274,25.60134277,0.018260576,0.028572083,17.60904375,22.85915527,0.01657448,0.04043579,4.889746719,22.28884277,0.015979387,0.075531006,4.365404274,0,0,0
2015-01-16,981.1144,25.5979248,0.01829487,0.03453064,21.90136184,23.4885498,0.016952097,0.051986694,5.025020873,22.3088623,0.016257823,0.13031006,3.295050829,0,0,0
2015-01-17,962.2865,25.30410156,0.018342566,0.07867432,18.9595932,23.91347656,0.017251562,0.10812378,5.42049866,22.64785156,0.015969824,0.21325684,3.051424915,0,0,0
2015-01-18,873.3819,25.13384399,0.017591788,0.13134766,19.87021049,22.79009399,0.016012503,0.073913574,7.478546296,21.57134399,0.014906241,0.07531738,4.689638019,0,0,0
2015-01-19,898.0128,25.15877686,0.01748747,0.081207275,21.90149615,23.10408936,0.016159955,0.07110596,8.574540907,21.57283936,0.015313092,0.14501953,4.815505447,0,0,0
2015-01-20,848.3934,25.0743042,0.016686695,0.023979187,20.61008223,22.5586792,0.016228931,0.039627075,6.195495378,22.3868042,0.016076343,0.2156372,3.115111081,0,0,0
2015-01-21,837.056,25.37243042,0.017363157,0.040023804,15.80571905,23.34118042,0.016340818,0.06674194,4.805688991,21.77868042,0.015451994,0.13104248,2.818290015,0,0,0
2015-01-22,904.7631,25.28682861,0.01739159,0.07058716,13.41638228,22.94307861,0.016170887,0.0741272,5.063499505,21.88057861,0.015301136,0.15216064,2.985510377,0,0,0
2015-01-23,881.8726,25.10222778,0.017389057,0.058258057,15.23258607,22.98504028,0.016282795,0.1484375,4.439813691,21.89910278,0.015210864,0.12301636,2.809191169,0,0,0
2015-01-24,912.4299,25.16845093,0.017345067,0.01776123,14.03081533,23.28563843,0.01643717,0.04562378,5.745346897,22.27782593,0.016139623,0.12350464,2.61005547,0,0,0
2015-01-25,880.2321,24.94832764,0.016474755,0.01952362,20.70801966,22.41707764,0.015841516,0.060165405,6.51384621,21.34676514,0.014822992,0.08850098,4.718278027,0,0,0
2015-01-26,908.0185,25.05245361,0.016758598,0.021995544,19.76310337,22.41182861,0.015282312,0.004392624,8.395520446,20.92745361,0.01448504,0.06085205,5.36952882,0,0,0
2015-01-27,897.5169,25.38240967,0.015669418,0.026565552,24.98108826,22.74959717,0.015165879,0.022026062,10.15620436,21.24959717,0.014509751,0.06878662,6.440450608,0,0,0
2015-01-28,908.0233,24.9500061,0.01623222,0.04449463,19.65381095,22.2546936,0.016056744,0.07119751,7.856756474,22.0281311,0.015972821,0.1899414,3.440799657,0,0,0
2015-01-29,915.2498,25.11574707,0.01649853,0.02355957,23.4293489,23.42043457,0.015903438,0.059814453,13.8876666,21.71730957,0.015190088,0.12347412,7.204011896,0,0,0
2015-01-30,940.3536,25.05376587,0.016008459,0.007734299,24.05864843,22.34282837,0.015550695,0.010612488,9.761938562,21.42876587,0.015443884,0.089019775,4.985532312,0,0,0
2015-01-31,954.2018,25.30849609,0.016449712,0.018058777,21.10845425,22.82412109,0.01583936,0.03656006,8.10975784,21.53505859,0.01496198,0.07696533,5.233739642,0,0,0
2015-02-01,904.3712,25.44844971,0.017303912,0.02670288,21.21121862,23.67501221,0.016174762,0.05267334,11.10577591,22.15938721,0.015095202,0.09954834,6.180095279,0,0,0
2015-02-02,905.0674,25.584375,0.017844839,0.023338318,20.77470597,24.209375,0.0165631,0.055023193,9.842046344,21.9515625,0.015475912,0.09661865,4.38561537,0,0,0
2015-02-03,942.6513,26.01192627,0.01788689,0.018424988,20.34085089,24.48067627,0.016971363,0.022880554,7.320738908,22.20723877,0.01600243,0.1003418,4.419329058,0,0,0
2015-02-04,954.0226,25.63225708,0.017354345,0.049316406,21.68900957,24.71819458,0.016759252,0.024551392,10.42357557,22.63225708,0.015683508,0.11071777,6.11946819,0,0,0
2015-02-05,953.2703,25.68221436,0.017712893,0.007165909,17.04396465,24.48690186,0.016965212,0.04286194,6.043503046,22.52596436,0.016011538,0.05519104,3.984689347,0,0,0
2015-02-06,968.5689,25.95125732,0.018406877,0.03968811,17.40930046,24.85750732,0.017209062,0.07131958,3.744646065,22.65438232,0.01659871,0.19714355,3.267075297,0,0,0
2015-02-07,918.182,25.35482178,0.01659847,0.027030945,17.75230709,24.51888428,0.01672817,0.116363525,7.5128314,22.57357178,0.015560873,0.15979004,3.756671099,0,0,0
2015-02-08,886.7516,24.84401855,0.016007079,0.020111084,16.13596199,23.75808105,0.015831603,0.11566162,5.666265991,21.72683105,0.014877929,0.13006592,3.479896082,0,0,0
2015-02-09,880.5882,24.91091309,0.016628131,0.023124695,8.94849083,22.60622559,0.015270099,0.018875122,4.287805912,21.91872559,0.015674457,0.12225342,2.736369561,0,0,0
2015-02-10,883.7256,24.79519043,0.01638725,0.005470276,8.882090368,23.84206543,0.016356733,0.082733154,2.165229831,21.98269043,0.015506055,0.076538086,0.993087787,0,0,0
2015-02-11,859.0091,24.9371582,0.016066592,0.017547607,14.52135024,23.6168457,0.015868228,0.044326782,2.957849788,21.8199707,0.015639346,0.08758545,1.307898217,0,0,0
2015-02-12,889.6502,25.42476807,0.016731093,0.053375244,18.49975858,23.05758057,0.015685866,0.022369385,6.582149503,21.72945557,0.01475508,0.039749146,3.948326072,0,0,0
2015-02-13,896.513,25.82052002,0.016818719,0.013343811,21.92991418,24.41427002,0.016208367,0.023803711,10.45425523,22.05489502,0.015872674,0.11816406,4.621208994,0,0,0
2015-02-14,914.5731,25.21651611,0.016376443,0.025375366,28.37088726,24.24776611,0.014144846,0.001170635,16.63827168,21.49776611,0.013244578,0.03060913,8.750118721,3,1,0
